id,name,email,password,imageUrl,phoneNumber,isEmailVerified,idCard,idCardImage,npwp,npwpImage,googleId,roleId,createdAt,updatedAt
11,Padmi Nasyiah,padmi_nasyiah@yahoo.com,$2b$12$2PUQFYvnVPEwlRKIIPWuLunBRrj2GiT4KCXPtRd43YhsUchM34q56,https://dummyimage.com/339x17,6288206616772,0,3159950698481255,ktp_admintoko_5.jpg,,,,3,2025-11-28 06:48:43.805989,2025-11-28 06:48:43.805989
12,Ana Safitri,anasafitri@gmail.com,$2b$12$2PUQFYvnVPEwlRKIIPWuLunBRrj2GiT4KCXPtRd43YhsUchM34q56,https://placekitten.com/428/807,62832544722738,1,5261140826990446,ktp_admintoko_6.jpg,,,,3,2025-11-28 06:48:43.805989,2025-11-28 06:48:43.805989
13,Kezia Haryanti,kezia_haryanti@mail.com,$2b$12$2PUQFYvnVPEwlRKIIPWuLunBRrj2GiT4KCXPtRd43YhsUchM34q56,https://picsum.photos/434/142,62814439875,1,1562401949144611,ktp_admintoko_7.jpg,,,,3,2025-11-28 06:48:43.805989,2025-11-28 06:48:43.805989
14,Azalea Handayani,azalea_handayani75@nukapos-admintoko.com,$2b$12$2PUQFYvnVPEwlRKIIPWuLunBRrj2GiT4KCXPtRd43YhsUchM34q56,https://placekitten.com/702/692,6289910445281,1,7771649025031920,ktp_admintoko_8.jpg,5571165342528292,,,3,2025-11-28 06:48:43.805989,2025-11-28 06:48:43.805989
15,Luhung Pratama,luhung_pratama70@bisnisanda.com,$2b$12$2PUQFYvnVPEwlRKIIPWuLunBRrj2GiT4KCXPtRd43YhsUchM34q56,https://placekitten.com/697/964,62838084134700,0,4318204662161887,ktp_admintoko_9.jpg,,,,3,2025-11-28 06:48:43.805989,2025-11-28 06:48:43.805989
16,Yuni Usada,yuni_usada80@nukapos-admintoko.com,$2b$12$2PUQFYvnVPEwlRKIIPWuLunBRrj2GiT4KCXPtRd43YhsUchM34q56,https://dummyimage.com/15x355,62852749022,0,4181442998659145,ktp_admintoko_10.jpg,,,,3,2025-11-28 06:48:43.805989,2025-11-28 06:48:43.805989
17,Hafshah Handayani,hafshah_handayani86@gmail.com,$2b$12$2PUQFYvnVPEwlRKIIPWuLunBRrj2GiT4KCXPtRd43YhsUchM34q56,https://picsum.photos/537/321,62857201559632,0,5279064576799996,ktp_kasir_1.jpg,,,,4,2025-11-28 06:48:43.805989,2025-11-28 06:48:43.805989
18,Damar Marpaung,damarmarpaung51@outlook.com,$2b$12$2PUQFYvnVPEwlRKIIPWuLunBRrj2GiT4KCXPtRd43YhsUchM34q56,https://dummyimage.com/552x37,6288295116921,1,9312833748389150,ktp_kasir_2.jpg,,,,4,2025-11-28 06:48:43.805989,2025-11-28 06:48:43.805989
19,Paiman Mansur,paiman.mansur57@gmail.com,$2b$12$2PUQFYvnVPEwlRKIIPWuLunBRrj2GiT4KCXPtRd43YhsUchM34q56,https://placekitten.com/1006/398,62857805837645,1,5429076611772803,ktp_kasir_3.jpg,,,,4,2025-11-28 06:48:43.805989,2025-11-28 06:48:43.805989
20,Calista Laksita,calista.laksita83@outlook.com,$2b$12$2PUQFYvnVPEwlRKIIPWuLunBRrj2GiT4KCXPtRd43YhsUchM34q56,https://dummyimage.com/88x330,62815878432,0,0376059285655761,ktp_kasir_4.jpg,,,,4,2025-11-28 06:48:43.805989,2025-11-28 06:48:43.805989
21,Manah Waluyo,manah_waluyo@gmail.com,$2b$12$2PUQFYvnVPEwlRKIIPWuLunBRrj2GiT4KCXPtRd43YhsUchM34q56,https://dummyimage.com/98x661,6283242640132,0,2258352815091361,ktp_kasir_5.jpg,,,,4,2025-11-28 06:48:43.805989,2025-11-28 06:48:43.805989
22,Adinata Nashiruddin,adinatanashiruddin@mail.com,$2b$12$2PUQFYvnVPEwlRKIIPWuLunBRrj2GiT4KCXPtRd43YhsUchM34q56,https://placekitten.com/968/103,628779518227,0,9062332928736730,ktp_kasir_6.jpg,,,,4,2025-11-28 06:48:43.805989,2025-11-28 06:48:43.805989
23,Cakrajiya Gunawan,cakrajiya_gunawan13@gmail.com,$2b$12$2PUQFYvnVPEwlRKIIPWuLunBRrj2GiT4KCXPtRd43YhsUchM34q56,https://picsum.photos/442/150,62822642838103,0,4893982413361490,ktp_kasir_7.jpg,9203141640443555,,,4,2025-11-28 06:48:43.805989,2025-11-28 06:48:43.805989
24,Tirta Simanjuntak,tirtasimanjuntak@bisnisanda.com,$2b$12$2PUQFYvnVPEwlRKIIPWuLunBRrj2GiT4KCXPtRd43YhsUchM34q56,https://placekitten.com/735/484,628988836246,1,7345020762297472,ktp_kasir_8.jpg,,,,4,2025-11-28 06:48:43.805989,2025-11-28 06:48:43.805989
25,Zaenab Hasanah,zaenab_hasanah81@outlook.com,$2b$12$2PUQFYvnVPEwlRKIIPWuLunBRrj2GiT4KCXPtRd43YhsUchM34q56,https://dummyimage.com/969x1020,6289779142220,1,6204483088365183,ktp_kasir_9.jpg,,,,4,2025-11-28 06:48:43.805989,2025-11-28 06:48:43.805989
26,Cindy Handayani,cindyhandayani59@gmail.com,$2b$12$2PUQFYvnVPEwlRKIIPWuLunBRrj2GiT4KCXPtRd43YhsUchM34q56,https://picsum.photos/226/485,62859381239,0,0321492521974557,ktp_kasir_10.jpg,,,,4,2025-11-28 06:48:43.805989,2025-11-28 06:48:43.805989
